Type,Name,Socket,Memory,Price,TDP
CPU,Ryzen 5 7600X,AM5,DDR5,250,105
CPU,Ryzen 9 7950X,AM5,DDR5,550,170
CPU,Intel i5-12600K,LGA1700,DDR4,220,125
CPU,Intel i9-13900K,LGA1700,DDR5,580,253
CPU,Intel i7-14700K,LGA1700,DDR5,400,125
CPU,Ryzen 7 7800X3D,AM5,DDR5,370,120
CPU,Intel i3-12100F,LGA1700,DDR4,95,58
CPU,Ryzen 5 5600X,AM4,DDR4,150,65
CPU,Ryzen 7 5800X,AM4,DDR4,210,105
CPU,Intel i9-14900KS,LGA1700,DDR5,650,150
Motherboard,ASUS Prime B460M-A,LGA1200,DDR4,110,0
Motherboard,MSI MAG B650,AM5,DDR5,190,0
Motherboard,Gigabyte Z790 AORUS,LGA1700,DDR5,240,0
Motherboard,ASRock B760M Steel Legend,LGA1700,DDR4,160,0
Motherboard,ASUS ROG Strix X670E-E,AM5,DDR5,450,0
Motherboard,MSI B550-A Pro,AM4,DDR4,130,0
Motherboard,Gigabyte B450M DS3H,AM4,DDR4,80,0
Motherboard,ASUS TUF Z790-Plus,LGA1700,DDR5,220,0
Motherboard,ASRock X670E Taichi,AM5,DDR5,480,0
Motherboard,MSI H610M-G,LGA1700,DDR4,85,0
GPU,RTX 4090,N/A,N/A,1600,450
GPU,RTX 4070,N/A,N/A,600,200
GPU,RX 7900 XTX,N/A,N/A,900,355
GPU,RTX 4060 Ti,N/A,N/A,380,160
GPU,RX 7600 XT,N/A,N/A,320,190
GPU,RTX 4080 Super,N/A,N/A,1000,320
GPU,RX 6700 XT,N/A,N/A,330,230
GPU,RTX 3060 12GB,N/A,N/A,280,170
GPU,Arc A770,N/A,N/A,300,225
GPU,RX 7800 XT,N/A,N/A,500,263
RAM,Corsair Vengeance 32GB(ddr5),N/A,DDR5,120,0
RAM,G.Skill Ripjaws 16GB(ddr4),N/A,DDR4,50,0
RAM,Kingston FURY Beast 64GB,N/A,DDR5,210,0
RAM,TeamGroup T-Force Vulcan 16GB,N/A,DDR5,60,0
RAM,Crucial RAM 8GB,N/A,DDR4,25,0
RAM,G.Skill Trident Z5 32GB,N/A,DDR5,150,0
RAM,Corsair Dominator 64GB,N/A,DDR5,280,0
RAM,Patriot Viper 16GB,N/A,DDR4,45,0
RAM,PNY XLR8 32GB,N/A,DDR4,85,0
RAM,Lexar Thor 32GB,N/A,DDR5,105,0
Storage,Samsung 990 Pro 1TB,N/A,N/A,100,0
Storage,Crucial P3 2TB,N/A,N/A,110,0
Storage,WD Black SN850X 2TB,N/A,N/A,160,0
Storage,Kingston NV2 1TB,N/A,N/A,60,0
Storage,Seagate BarraCuda 4TB,N/A,N/A,90,0
Storage,Samsung 870 EVO 1TB,N/A,N/A,95,0
Storage,Saberent Rocket 4 Plus,N/A,N/A,150,0
Storage,TeamGroup MP33 512GB,N/A,N/A,35,0
Storage,Crucial MX500 2TB,N/A,N/A,130,0
Storage,WD Blue 1TB SSD,N/A,N/A,75,0
PSU,MSI MAG A650BE,N/A,N/A,90,650
PSU,Corsair RM1000x,N/A,N/A,190,1000
PSU,EVGA SuperNOVA 850G,N/A,N/A,130,850
PSU,Seasonic Focus GX-750,N/A,N/A,110,750
PSU,Thermaltake Toughpower 600W,N/A,N/A,70,600
PSU,Be Quiet! Straight Power 1200W,N/A,N/A,250,1200
PSU,Cooler Master MWE 550,N/A,N/A,55,550
PSU,Asus ROG Thor 1200,N/A,N/A,320,1200
PSU,Corsair CX450,N/A,N/A,45,450
PSU,NZXT C850,N/A,N/A,125,850
Case,NZXT H510,N/A,N/A,70,0
Case,Corsair 4000D,N/A,N/A,100,0
Case,Fractal Design North,N/A,N/A,140,0
Case,Lian Li PC-O11 Dynamic,N/A,N/A,150,0
Case,Cooler Master Q300L,N/A,N/A,45,0
